"filename", "language", "PHP", "XML", "JavaScript", "HTML", "CSS", "SQL", "Ini", "comment", "blank", "total"
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\flecha_abajo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\github.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\icon.svg", "XML", 0, 1541, 0, 0, 0, 0, 0, 0, 1, 1542
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\imageningreso.svg", "XML", 0, 3110, 0, 0, 0, 0, 0, 0, 1, 3111
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\instagram.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\isotipo_empresa.svg", "XML", 0, 378, 0, 0, 0, 0, 0, 0, 1, 379
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\linkedin.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\log_out.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\login.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\logo_producto.svg", "XML", 0, 7166, 0, 0, 0, 0, 0, 0, 1, 7167
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\mail.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\phone.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\usr_icon.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\img\volver.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\js\RegistrarseRestaurante.js", "JavaScript", 0, 0, 702, 0, 0, 0, 0, 110, 158, 970
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\js\ingresohotel.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 15, 18, 123
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\js\loginjs.js", "JavaScript", 0, 0, 124, 0, 0, 0, 0, 16, 33, 173
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\js\menuheader.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 1, 11
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\js\restaurante_y_resenas.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 11, 6, 71
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\js\restauranteprincipaljs.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 18, 21, 100
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\js\turista.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 4, 19
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\login_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\administrador_model.php", "PHP", 120, 0, 0, 0, 0, 0, 0, 81, 80, 281
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\archivos_model.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 54, 57, 172
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\asistencia_model.php", "PHP", 158, 0, 0, 0, 0, 0, 0, 75, 58, 291
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\barrio_model.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 23, 23, 86
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\horario_model.php", "PHP", 116, 0, 0, 0, 0, 0, 0, 55, 47, 218
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\hospedaje_model.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 56, 41, 218
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\hotel_model.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 25, 25, 94
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\nacionalidad_model.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 40, 32, 144
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\promociones_model.php", "PHP", 237, 0, 0, 0, 0, 0, 0, 101, 132, 470
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\resena_model.php", "PHP", 287, 0, 0, 0, 0, 0, 0, 111, 103, 501
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\restaurante_model.php", "PHP", 604, 0, 0, 0, 0, 0, 0, 274, 176, 1054
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\turista_model.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 32, 32, 141
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\usuario_model.php", "PHP", 166, 0, 0, 0, 0, 0, 0, 90, 63, 319
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\models\verificacion_de_usuarios_model.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 31, 39, 164
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\pagina_principal_admin_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\pago_admin_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\perfil_restaurante_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\pruebas_index.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 4, 53, 148
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\register_restaurante_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\registro_admin_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\registro_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\resenas_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\restaurante_principal_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\restaurante_turista_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 5, 9
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\restaurantes_vencidos_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\solicitudes_restaurante_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\turista_perfil_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\turista_principal_index.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\admin_perfil_view.php", "PHP", 209, 0, 0, 0, 0, 0, 0, 0, 19, 228
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\administrador_pagos_view.php", "PHP", 283, 0, 0, 0, 0, 0, 0, 11, 44, 338
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\administrador_view.php", "PHP", 211, 0, 0, 0, 0, 0, 0, 0, 28, 239
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\historial_view.php", "PHP", 102, 0, 0, 0, 0, 0, 0, 0, 1, 103
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\hotel_turista_view.php", "PHP", 150, 0, 0, 0, 0, 0, 0, 0, 7, 157
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\login_view.php", "PHP", 149, 0, 0, 0, 0, 0, 0, 0, 14, 163
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\pago_restaurante_view.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 145, 8, 222
